Economy,LPI Score,Customs Score,Infrastructure Score,International Shipments Score,Logistics Competence and Quality Score,Timeliness Score,Tracking and Tracing Score,Infrastructure Rank,Customs Rank,Shipments Rank,Logistics Rank,Timeliness Rank,Tracking Rank,Overall Rank,Total Score
Singapore,4.3,4.2,4.6,4.0,4.4,4.3,4.4,1.0,1.0,2.5,1.0,2.0,1.0,1.0,4.316666666666667
Finland,4.2,4.0,4.2,4.1,4.2,4.3,4.2,6.5,5.0,1.0,5.5,2.0,6.5,2.0,4.166666666666667
Switzerland,4.1,4.1,4.4,3.6,4.3,4.2,4.2,2.0,2.5,17.5,2.0,6.5,6.5,3.0,4.133333333333333
Germany,4.1,3.9,4.3,3.7,4.2,4.1,4.2,3.5,9.0,10.5,5.5,13.0,6.5,4.0,4.0666666666666655
Belgium,4.0,3.9,4.1,3.8,4.2,4.2,4.0,11.0,9.0,5.5,5.5,6.5,17.5,5.0,4.033333333333333
Denmark,4.1,4.1,4.1,3.6,4.1,4.1,4.3,11.0,2.5,17.5,9.5,13.0,2.0,6.0,4.05
Netherlands,4.1,3.9,4.2,3.7,4.2,4.0,4.2,6.5,9.0,10.5,5.5,18.5,6.5,7.0,4.033333333333333
Canada,4.0,4.0,4.3,3.6,4.2,4.1,4.1,3.5,5.0,17.5,5.5,13.0,13.0,8.0,4.050000000000001
Austria,4.0,3.7,3.9,3.8,4.0,4.3,4.2,17.0,16.5,5.5,12.0,2.0,6.5,9.0,3.983333333333333
"Hong Kong SAR, China",4.0,3.8,4.0,4.0,4.0,4.1,4.2,14.5,12.5,2.5,12.0,13.0,6.5,10.0,4.016666666666667
United Arab Emirates,4.0,3.7,4.1,3.8,4.0,4.2,4.1,11.0,16.5,5.5,12.0,6.5,13.0,11.0,3.983333333333333
Sweden,4.0,4.0,4.2,3.4,4.2,4.2,4.1,6.5,5.0,31.5,5.5,6.5,13.0,12.0,4.016666666666667
"Taiwan, China",3.9,3.5,3.8,3.7,3.9,4.2,4.2,21.5,22.5,10.5,16.5,6.5,6.5,13.0,3.8833333333333333
Spain,3.9,3.6,3.8,3.7,3.9,4.2,4.1,21.5,20.5,10.5,16.5,6.5,13.0,14.0,3.883333333333334
Japan,3.9,3.9,4.2,3.3,4.1,4.0,4.0,6.5,9.0,40.0,9.5,18.5,17.5,15.0,3.9166666666666665
France,3.9,3.7,3.8,3.7,3.8,4.1,4.0,21.5,16.5,10.5,23.5,13.0,17.5,16.0,3.85
United States,3.8,3.7,3.9,3.4,3.9,3.8,4.2,17.0,16.5,31.5,16.5,27.0,6.5,17.0,3.8166666666666664
"Korea, Rep.",3.8,3.9,4.1,3.4,3.8,3.8,3.8,11.0,9.0,31.5,23.5,27.0,25.5,18.0,3.8000000000000003
Greece,3.7,3.2,3.7,3.8,3.8,3.9,3.9,27.0,39.5,5.5,23.5,22.5,21.0,19.0,3.7166666666666663
China,3.7,3.3,4.0,3.6,3.8,3.7,3.8,14.5,33.5,17.5,23.5,32.0,25.5,20.0,3.6999999999999997
Italy,3.7,3.4,3.8,3.4,3.8,3.9,3.9,21.5,27.0,31.5,23.5,22.5,21.0,21.0,3.6999999999999993
Australia,3.7,3.7,4.1,3.1,3.9,3.6,4.1,11.0,16.5,51.5,16.5,40.0,13.0,22.0,3.75
United Kingdom,3.7,3.5,3.7,3.5,3.7,3.7,4.0,27.0,22.5,23.5,30.0,32.0,17.5,23.0,3.683333333333333
Israel,3.6,3.4,3.7,3.5,3.8,3.8,3.7,27.0,27.0,23.5,23.5,27.0,31.0,24.0,3.65
South Africa,3.7,3.3,3.6,3.6,3.8,3.8,3.8,34.0,33.5,17.5,23.5,27.0,25.5,25.0,3.6500000000000004
Norway,3.7,3.8,3.9,3.0,3.8,4.0,3.7,17.0,12.5,62.0,23.5,18.5,31.0,26.0,3.6999999999999997
Malaysia,3.6,3.3,3.6,3.7,3.7,3.7,3.7,34.0,33.5,10.5,30.0,32.0,31.0,27.0,3.6166666666666667
New Zealand,3.6,3.4,3.8,3.2,3.7,3.8,3.8,21.5,27.0,44.5,30.0,27.0,25.5,28.0,3.6166666666666667
Luxembourg,3.6,3.6,3.6,3.6,3.9,3.5,3.5,34.0,20.5,17.5,16.5,50.0,38.5,29.0,3.616666666666667
Estonia,3.6,3.2,3.5,3.4,3.7,4.1,3.8,40.5,39.5,31.5,30.0,13.0,25.5,30.0,3.6166666666666667
Ireland,3.6,3.4,3.5,3.6,3.6,3.7,3.7,40.5,27.0,17.5,35.0,32.0,31.0,31.0,3.5833333333333335
Poland,3.6,3.4,3.5,3.3,3.6,3.9,3.8,40.5,27.0,40.0,35.0,22.5,25.5,32.0,3.5833333333333335
Iceland,3.6,3.7,3.6,3.3,3.5,3.6,3.7,34.0,16.5,40.0,39.5,40.0,31.0,33.0,3.566666666666667
Latvia,3.5,3.3,3.3,3.2,3.7,4.0,3.6,45.0,33.5,44.5,30.0,18.5,35.0,34.0,3.516666666666667
